iter	Passed	Remaining
0	46	46129
1	47	23640
2	48	16023
3	48	12149
4	49	9849
5	50	8312
6	50	7231
7	51	6409
8	52	5762
9	53	5252
10	53	4845
11	62	5149
12	63	4798
13	63	4499
14	64	4247
15	65	4028
16	65	3815
17	66	3634
18	67	3478
19	68	3334
20	68	3206
21	69	3093
22	78	3328
23	79	3214
24	79	3108
25	80	3010
26	80	2918
27	81	2831
28	82	2751
29	82	2674
30	83	2604
31	84	2542
32	84	2487
33	101	2871
34	101	2800
35	102	2732
36	102	2668
37	103	2608
38	103	2552
39	104	2497
40	104	2445
41	105	2396
42	105	2349
43	106	2304
44	106	2270
45	107	2236
46	108	2205
47	109	2175
48	110	2144
49	111	2115
50	112	2088
51	113	2062
52	114	2037
53	114	2012
54	115	1988
55	116	1964
56	117	1942
57	118	1920
58	119	1899
59	123	1939
60	136	2106
61	137	2080
62	138	2055
63	138	2031
64	139	2009
65	140	1985
66	140	1961
67	141	1933
68	141	1909
69	141	1885
70	142	1863
71	145	1872
72	145	1850
73	146	1828
74	146	1807
75	147	1788
76	147	1767
77	147	1748
78	148	1729
79	148	1709
80	149	1691
81	149	1672
82	149	1654
83	150	1636
84	150	1618
85	150	1601
86	150	1583
87	151	1567
88	151	1552
89	152	1537
90	152	1522
91	152	1507
92	153	1493
93	153	1479
94	153	1465
95	154	1452
96	154	1438
97	154	1425
98	155	1413
99	155	1400
100	156	1388
101	156	1374
102	156	1363
103	156	1351
104	157	1340
105	157	1329
106	157	1318
107	158	1307
108	158	1297
109	159	1287
110	159	1276
111	159	1267
112	160	1257
113	160	1247
114	160	1237
115	161	1228
116	161	1219
117	161	1210
118	162	1200
119	162	1191
120	162	1183
121	163	1174
122	163	1165
123	163	1156
124	164	1148
125	164	1140
126	164	1133
127	165	1124
128	165	1117
129	165	1109
130	166	1102
131	166	1095
132	166	1087
133	167	1080
134	167	1073
135	167	1066
136	168	1060
137	168	1053
138	168	1046
139	169	1040
140	169	1033
141	170	1027
142	170	1021
143	170	1014
144	171	1008
145	171	1002
146	171	997
147	172	991
148	172	985
149	172	979
150	173	973
151	173	968
152	173	962
153	174	957
154	174	951
155	174	946
156	175	941
157	175	936
158	176	931
159	176	926
160	176	921
161	177	916
162	177	911
163	177	906
164	178	901
165	178	897
166	178	892
167	179	887
168	179	883
169	179	878
170	180	874
171	180	869
172	181	865
173	181	861
174	181	856
175	182	852
176	182	848
177	182	844
178	183	840
179	183	836
180	183	831
181	184	827
182	184	823
183	184	819
184	185	815
185	185	812
186	185	808
187	186	804
188	186	800
189	186	797
190	187	793
191	187	789
192	188	786
193	188	782
194	188	779
195	189	775
196	189	772
197	189	768
198	190	765
199	190	762
200	190	758
201	191	755
202	191	752
203	191	749
204	192	745
205	192	742
206	193	739
207	193	736
208	193	733
209	194	730
210	194	727
211	194	724
212	195	721
213	195	718
214	195	715
215	196	712
216	196	709
217	197	706
218	197	703
219	197	701
220	198	698
221	198	695
222	198	692
223	199	689
224	199	687
225	199	684
226	200	681
227	200	679
228	200	676
229	201	673
230	201	671
231	201	668
232	202	666
233	202	663
234	203	660
235	203	658
236	203	655
237	204	653
238	204	650
239	204	648
240	205	646
241	205	643
242	205	641
243	206	638
244	206	636
245	206	634
246	207	631
247	207	629
248	208	627
249	208	625
250	208	622
251	209	620
252	209	618
253	209	616
254	210	613
255	210	611
256	210	609
257	211	607
258	211	605
259	211	603
260	212	601
261	212	599
262	213	596
263	213	594
264	213	592
265	214	590
266	214	588
267	214	586
268	215	584
269	215	582
270	215	580
271	216	578
272	216	576
273	216	574
274	217	572
275	217	571
276	218	569
277	218	567
278	218	565
279	219	563
280	219	561
281	219	559
282	220	557
